video_name,camera_id,frame,timestamp_rel,timestamp_abs,track_id,x1,y1,x2,y2,bbox_area
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,4,251,104,315,174,4480
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,5,251,236,339,332,8448
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,6,347,114,420,229,8395
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,7,285,68,324,134,2574
exam scene1.mp4,0,16,0.5,2025-12-26 22:06:41.251658,9,246,158,315,240,5658
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.334236,1,439,131,519,289,12640
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.334236,2,504,203,573,318,7935
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.334236,3,95,38,140,87,2205
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.334236,4,250,104,316,174,4620
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.334236,5,252,236,338,330,8084
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.336244,6,347,114,420,230,8468
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.336244,7,285,69,324,134,2535
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.336244,9,246,158,315,240,5658
exam scene1.mp4,0,17,0.5333333333333333,2025-12-26 22:06:42.336244,11,292,32,334,76,1848
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,1,439,131,519,290,12720
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,2,505,203,573,318,7820
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,3,95,38,141,88,2300
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,4,250,104,316,174,4620
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,5,252,237,338,330,7998
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,6,347,114,421,230,8584
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,7,285,69,324,134,2535
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,9,246,158,315,240,5658
exam scene1.mp4,0,18,0.5666666666666667,2025-12-26 22:06:43.268723,11,292,32,334,76,1848
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,1,439,130,518,290,12640
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,2,504,203,573,318,7935
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,3,95,38,141,88,2300
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,4,250,104,316,174,4620
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,5,252,237,338,330,7998
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,6,347,115,421,231,8584
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,7,286,70,324,134,2432
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,9,245,158,315,240,5740
exam scene1.mp4,0,19,0.6,2025-12-26 22:06:44.093498,11,292,32,334,76,1848
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,1,438,129,518,290,12880
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,2,504,203,573,318,7935
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,3,95,38,141,88,2300
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,4,251,104,316,174,4550
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,5,253,237,337,328,7644
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,6,347,115,421,231,8584
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,7,286,71,323,134,2331
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,9,245,158,315,241,5810
exam scene1.mp4,0,20,0.6333333333333333,2025-12-26 22:06:44.878117,11,293,32,334,76,1804
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,1,439,130,518,291,12719
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,2,504,202,573,318,8004
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,3,95,38,141,89,2346
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,4,251,104,316,174,4550
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,5,253,238,337,328,7560
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,6,347,115,421,231,8584
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,7,286,72,323,134,2294
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,9,245,158,315,241,5810
exam scene1.mp4,0,21,0.6666666666666666,2025-12-26 22:06:45.748445,11,293,32,334,76,1804
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.611873,1,440,130,519,292,12798
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.613533,2,504,203,574,318,8050
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.613533,3,95,38,141,89,2346
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.613533,4,251,104,316,175,4615
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.613533,5,253,238,337,328,7560
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.613533,6,347,115,421,231,8584
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.613533,7,286,73,323,133,2220
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.615112,9,245,158,315,241,5810
exam scene1.mp4,0,22,0.7,2025-12-26 22:06:46.615112,11,294,32,335,76,1804
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.453897,1,440,130,519,291,12719
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,2,505,202,573,318,7888
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,3,95,38,141,89,2346
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,4,251,104,316,175,4615
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,5,252,238,338,329,7826
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,6,347,115,421,231,8584
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,7,286,73,323,133,2220
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,9,245,158,315,241,5810
exam scene1.mp4,0,23,0.7333333333333333,2025-12-26 22:06:47.460167,11,294,32,335,76,1804
exam scene1.mp4,0,24,0.7666666666666666,2025-12-26 22:06:48.391030,1,440,130,519,291,12719
exam scene1.mp4,0,24,0.7666666666666666,2025-12-26 22:06:48.391030,2,505,203,573,318,7820
exam scene1.mp4,0,24,0.7666666666666666,2025-12-26 22:06:48.394366,3,95,37,140,89,2340
