frame,person_id,type
92,1,Excessive Head Turn
92,1,Excessive Hand Movement
92,3,Excessive Head Turn
92,3,Excessive Hand Movement
92,6,Excessive Head Turn
92,6,Excessive Hand Movement
93,1,Excessive Head Turn
93,1,Excessive Hand Movement
93,2,Excessive Head Turn
93,2,Excessive Hand Movement
93,3,Excessive Head Turn
93,3,Excessive Hand Movement
93,6,Excessive Head Turn
93,6,Excessive Hand Movement
94,1,Excessive Head Turn
94,1,Excessive Hand Movement
94,2,Excessive Head Turn
94,2,Excessive Hand Movement
94,3,Excessive Head Turn
94,3,Excessive Hand Movement
94,6,Excessive Head Turn
94,6,Excessive Hand Movement
95,1,Excessive Head Turn
95,1,Excessive Hand Movement
95,3,Excessive Head Turn
95,3,Excessive Hand Movement
95,6,Excessive Head Turn
95,6,Excessive Hand Movement
96,1,Excessive Head Turn
96,1,Excessive Hand Movement
96,2,Excessive Head Turn
96,2,Excessive Hand Movement
96,3,Excessive Head Turn
96,3,Excessive Hand Movement
96,6,Excessive Head Turn
96,6,Excessive Hand Movement
97,1,Excessive Head Turn
97,1,Excessive Hand Movement
97,2,Excessive Head Turn
97,2,Excessive Hand Movement
97,3,Excessive Head Turn
97,3,Excessive Hand Movement
97,6,Excessive Head Turn
97,6,Excessive Hand Movement
98,1,Excessive Head Turn
98,1,Excessive Hand Movement
98,3,Excessive Head Turn
98,3,Excessive Hand Movement
98,6,Excessive Head Turn
98,6,Excessive Hand Movement
99,1,Excessive Head Turn
99,1,Excessive Hand Movement
99,2,Excessive Head Turn
99,2,Excessive Hand Movement
99,3,Excessive Head Turn
99,3,Excessive Hand Movement
99,6,Excessive Head Turn
99,6,Excessive Hand Movement
100,1,Excessive Head Turn
100,1,Excessive Hand Movement
100,2,Excessive Head Turn
100,2,Excessive Hand Movement
100,3,Excessive Head Turn
100,3,Excessive Hand Movement
100,6,Excessive Head Turn
100,6,Excessive Hand Movement
101,1,Excessive Head Turn
101,1,Excessive Hand Movement
101,2,Excessive Head Turn
101,2,Excessive Hand Movement
101,3,Excessive Head Turn
101,3,Excessive Hand Movement
101,6,Excessive Head Turn
101,6,Excessive Hand Movement
102,1,Excessive Head Turn
102,1,Excessive Hand Movement
102,3,Excessive Head Turn
102,3,Excessive Hand Movement
102,6,Excessive Head Turn
102,6,Excessive Hand Movement
103,1,Excessive Head Turn
103,1,Excessive Hand Movement
103,2,Excessive Head Turn
103,2,Excessive Hand Movement
103,3,Excessive Head Turn
103,3,Excessive Hand Movement
103,6,Excessive Head Turn
103,6,Excessive Hand Movement
104,1,Excessive Head Turn
104,1,Excessive Hand Movement
104,2,Excessive Head Turn
104,2,Excessive Hand Movement
104,3,Excessive Head Turn
104,3,Excessive Hand Movement
104,6,Excessive Head Turn
104,6,Excessive Hand Movement
105,1,Excessive Head Turn
105,1,Excessive Hand Movement
105,3,Excessive Head Turn
105,3,Excessive Hand Movement
105,6,Excessive Head Turn
105,6,Excessive Hand Movement
106,1,Excessive Head Turn
106,1,Excessive Hand Movement
106,2,Excessive Head Turn
106,2,Excessive Hand Movement
106,3,Excessive Head Turn
106,3,Excessive Hand Movement
106,6,Excessive Head Turn
106,6,Excessive Hand Movement
107,1,Excessive Head Turn
107,1,Excessive Hand Movement
107,2,Excessive Head Turn
107,2,Excessive Hand Movement
107,3,Excessive Head Turn
107,3,Excessive Hand Movement
107,6,Excessive Head Turn
107,6,Excessive Hand Movement
108,1,Excessive Head Turn
108,1,Excessive Hand Movement
108,2,Excessive Head Turn
108,2,Excessive Hand Movement
108,3,Excessive Head Turn
108,3,Excessive Hand Movement
108,6,Excessive Head Turn
108,6,Excessive Hand Movement
109,1,Excessive Head Turn
109,1,Excessive Hand Movement
109,3,Excessive Head Turn
109,3,Excessive Hand Movement
109,6,Excessive Head Turn
109,6,Excessive Hand Movement
110,1,Excessive Head Turn
110,1,Excessive Hand Movement
110,2,Excessive Head Turn
110,2,Excessive Hand Movement
110,3,Excessive Head Turn
110,3,Excessive Hand Movement
110,6,Excessive Head Turn
110,6,Excessive Hand Movement
111,1,Excessive Head Turn
111,1,Excessive Hand Movement
111,2,Excessive Head Turn
111,2,Excessive Hand Movement
111,3,Excessive Head Turn
111,3,Excessive Hand Movement
111,6,Excessive Head Turn
111,6,Excessive Hand Movement
112,1,Excessive Head Turn
112,1,Excessive Hand Movement
112,2,Excessive Head Turn
112,2,Excessive Hand Movement
112,3,Excessive Head Turn
112,3,Excessive Hand Movement
112,6,Excessive Head Turn
112,6,Excessive Hand Movement
113,1,Excessive Head Turn
113,1,Excessive Hand Movement
113,3,Excessive Head Turn
113,3,Excessive Hand Movement
113,6,Excessive Head Turn
113,6,Excessive Hand Movement
114,1,Excessive Head Turn
114,1,Excessive Hand Movement
114,2,Excessive Head Turn
114,2,Excessive Hand Movement
114,3,Excessive Head Turn
114,3,Excessive Hand Movement
114,6,Excessive Head Turn
114,6,Excessive Hand Movement
115,1,Excessive Head Turn
115,1,Excessive Hand Movement
115,2,Excessive Head Turn
115,2,Excessive Hand Movement
115,3,Excessive Head Turn
115,3,Excessive Hand Movement
115,6,Excessive Head Turn
115,6,Excessive Hand Movement
116,1,Excessive Head Turn
116,1,Excessive Hand Movement
116,3,Excessive Head Turn
116,3,Excessive Hand Movement
116,6,Excessive Head Turn
116,6,Excessive Hand Movement
117,1,Excessive Head Turn
117,1,Excessive Hand Movement
117,2,Excessive Head Turn
117,2,Excessive Hand Movement
117,3,Excessive Head Turn
117,3,Excessive Hand Movement
117,6,Excessive Head Turn
117,6,Excessive Hand Movement
118,1,Excessive Head Turn
118,1,Excessive Hand Movement
118,3,Excessive Head Turn
118,3,Excessive Hand Movement
118,6,Excessive Head Turn
118,6,Excessive Hand Movement
119,1,Excessive Head Turn
119,1,Excessive Hand Movement
119,2,Excessive Head Turn
119,2,Excessive Hand Movement
119,3,Excessive Head Turn
119,3,Excessive Hand Movement
119,6,Excessive Head Turn
119,6,Excessive Hand Movement
120,1,Excessive Head Turn
120,1,Excessive Hand Movement
120,2,Excessive Head Turn
120,2,Excessive Hand Movement
120,3,Excessive Head Turn
120,3,Excessive Hand Movement
120,6,Excessive Head Turn
120,6,Excessive Hand Movement
121,1,Excessive Head Turn
121,1,Excessive Hand Movement
121,2,Excessive Head Turn
121,2,Excessive Hand Movement
121,3,Excessive Head Turn
121,3,Excessive Hand Movement
121,6,Excessive Head Turn
121,6,Excessive Hand Movement
122,1,Excessive Head Turn
122,1,Excessive Hand Movement
122,2,Excessive Head Turn
122,2,Excessive Hand Movement
123,1,Excessive Head Turn
123,1,Excessive Hand Movement
123,2,Excessive Head Turn
123,2,Excessive Hand Movement
123,3,Excessive Head Turn
123,3,Excessive Hand Movement
123,6,Excessive Head Turn
123,6,Excessive Hand Movement
124,1,Excessive Head Turn
124,1,Excessive Hand Movement
124,2,Excessive Head Turn
124,2,Excessive Hand Movement
124,3,Excessive Head Turn
124,3,Excessive Hand Movement
124,6,Excessive Head Turn
124,6,Excessive Hand Movement
125,1,Excessive Head Turn
125,1,Excessive Hand Movement
125,3,Excessive Head Turn
125,3,Excessive Hand Movement
125,6,Excessive Head Turn
125,6,Excessive Hand Movement
126,1,Excessive Head Turn
126,1,Excessive Hand Movement
126,2,Excessive Head Turn
126,2,Excessive Hand Movement
126,3,Excessive Head Turn
126,3,Excessive Hand Movement
126,6,Excessive Head Turn
126,6,Excessive Hand Movement
127,1,Excessive Head Turn
127,1,Excessive Hand Movement
127,2,Excessive Head Turn
127,2,Excessive Hand Movement
127,3,Excessive Head Turn
127,3,Excessive Hand Movement
128,1,Excessive Head Turn
128,1,Excessive Hand Movement
128,2,Excessive Head Turn
128,2,Excessive Hand Movement
128,3,Excessive Head Turn
128,3,Excessive Hand Movement
128,6,Excessive Head Turn
128,6,Excessive Hand Movement
129,1,Excessive Head Turn
129,1,Excessive Hand Movement
129,2,Excessive Head Turn
129,2,Excessive Hand Movement
129,3,Excessive Head Turn
129,3,Excessive Hand Movement
129,6,Excessive Head Turn
129,6,Excessive Hand Movement
130,3,Excessive Head Turn
130,3,Excessive Hand Movement
130,6,Excessive Head Turn
130,6,Excessive Hand Movement
131,1,Excessive Head Turn
131,1,Excessive Hand Movement
131,2,Excessive Head Turn
131,2,Excessive Hand Movement
131,3,Excessive Head Turn
131,3,Excessive Hand Movement
131,6,Excessive Head Turn
131,6,Excessive Hand Movement
132,3,Excessive Head Turn
132,3,Excessive Hand Movement
132,6,Excessive Head Turn
132,6,Excessive Hand Movement
133,1,Excessive Head Turn
133,1,Excessive Hand Movement
133,2,Excessive Head Turn
133,2,Excessive Hand Movement
133,3,Excessive Head Turn
133,3,Excessive Hand Movement
133,6,Excessive Head Turn
133,6,Excessive Hand Movement
134,3,Excessive Head Turn
134,3,Excessive Hand Movement
134,6,Excessive Head Turn
134,6,Excessive Hand Movement
135,1,Excessive Head Turn
135,1,Excessive Hand Movement
135,2,Excessive Head Turn
135,2,Excessive Hand Movement
135,3,Excessive Head Turn
135,3,Excessive Hand Movement
135,6,Excessive Head Turn
135,6,Excessive Hand Movement
136,1,Excessive Head Turn
136,1,Excessive Hand Movement
136,2,Excessive Head Turn
136,2,Excessive Hand Movement
136,3,Excessive Head Turn
136,3,Excessive Hand Movement
136,6,Excessive Head Turn
136,6,Excessive Hand Movement
137,1,Excessive Head Turn
137,1,Excessive Hand Movement
137,2,Excessive Head Turn
137,2,Excessive Hand Movement
137,3,Excessive Head Turn
137,3,Excessive Hand Movement
137,6,Excessive Head Turn
137,6,Excessive Hand Movement
138,1,Excessive Head Turn
138,1,Excessive Hand Movement
138,3,Excessive Head Turn
138,3,Excessive Hand Movement
138,6,Excessive Head Turn
138,6,Excessive Hand Movement
139,1,Excessive Head Turn
139,1,Excessive Hand Movement
139,2,Excessive Head Turn
139,2,Excessive Hand Movement
139,3,Excessive Head Turn
139,3,Excessive Hand Movement
139,6,Excessive Head Turn
139,6,Excessive Hand Movement
140,1,Excessive Head Turn
140,1,Excessive Hand Movement
140,2,Excessive Head Turn
140,2,Excessive Hand Movement
140,3,Excessive Head Turn
140,3,Excessive Hand Movement
140,6,Excessive Head Turn
140,6,Excessive Hand Movement
141,2,Excessive Head Turn
141,2,Excessive Hand Movement
141,3,Excessive Head Turn
141,3,Excessive Hand Movement
141,6,Excessive Head Turn
141,6,Excessive Hand Movement
142,1,Excessive Head Turn
142,1,Excessive Hand Movement
142,2,Excessive Head Turn
142,2,Excessive Hand Movement
142,3,Excessive Head Turn
142,3,Excessive Hand Movement
142,6,Excessive Head Turn
142,6,Excessive Hand Movement
143,1,Excessive Head Turn
143,1,Excessive Hand Movement
143,2,Excessive Head Turn
143,2,Excessive Hand Movement
143,3,Excessive Head Turn
143,3,Excessive Hand Movement
143,6,Excessive Head Turn
143,6,Excessive Hand Movement
144,1,Excessive Head Turn
144,1,Excessive Hand Movement
144,3,Excessive Head Turn
144,3,Excessive Hand Movement
144,6,Excessive Head Turn
144,6,Excessive Hand Movement
145,1,Excessive Head Turn
145,1,Excessive Hand Movement
145,2,Excessive Head Turn
145,2,Excessive Hand Movement
145,3,Excessive Head Turn
145,3,Excessive Hand Movement
145,6,Excessive Head Turn
145,6,Excessive Hand Movement
146,1,Excessive Head Turn
146,1,Excessive Hand Movement
146,2,Excessive Head Turn
146,2,Excessive Hand Movement
146,3,Excessive Head Turn
146,3,Excessive Hand Movement
146,6,Excessive Head Turn
146,6,Excessive Hand Movement
147,2,Excessive Head Turn
147,2,Excessive Hand Movement
147,3,Excessive Head Turn
147,3,Excessive Hand Movement
147,6,Excessive Head Turn
147,6,Excessive Hand Movement
148,1,Excessive Head Turn
148,1,Excessive Hand Movement
148,2,Excessive Head Turn
148,2,Excessive Hand Movement
148,3,Excessive Head Turn
148,3,Excessive Hand Movement
148,6,Excessive Head Turn
148,6,Excessive Hand Movement
149,1,Excessive Head Turn
149,1,Excessive Hand Movement
149,2,Excessive Head Turn
149,2,Excessive Hand Movement
149,3,Excessive Head Turn
149,3,Excessive Hand Movement
150,1,Excessive Head Turn
150,1,Excessive Hand Movement
150,2,Excessive Head Turn
150,2,Excessive Hand Movement
150,3,Excessive Head Turn
150,3,Excessive Hand Movement
150,6,Excessive Head Turn
150,6,Excessive Hand Movement
151,1,Excessive Head Turn
151,1,Excessive Hand Movement
151,2,Excessive Head Turn
151,2,Excessive Hand Movement
151,3,Excessive Head Turn
151,3,Excessive Hand Movement
151,6,Excessive Head Turn
151,6,Excessive Hand Movement
152,1,Excessive Head Turn
152,1,Excessive Hand Movement
152,2,Excessive Head Turn
152,2,Excessive Hand Movement
152,3,Excessive Head Turn
152,3,Excessive Hand Movement
152,6,Excessive Head Turn
152,6,Excessive Hand Movement
153,1,Excessive Head Turn
153,1,Excessive Hand Movement
153,3,Excessive Head Turn
153,3,Excessive Hand Movement
153,6,Excessive Head Turn
153,6,Excessive Hand Movement
154,1,Excessive Head Turn
154,1,Excessive Hand Movement
154,2,Excessive Head Turn
154,2,Excessive Hand Movement
154,3,Excessive Head Turn
154,3,Excessive Hand Movement
154,6,Excessive Head Turn
154,6,Excessive Hand Movement
155,1,Excessive Head Turn
155,1,Excessive Hand Movement
155,2,Excessive Head Turn
155,2,Excessive Hand Movement
155,3,Excessive Head Turn
155,3,Excessive Hand Movement
155,6,Excessive Head Turn
155,6,Excessive Hand Movement
156,1,Excessive Head Turn
156,1,Excessive Hand Movement
156,2,Excessive Head Turn
156,2,Excessive Hand Movement
156,3,Excessive Head Turn
156,3,Excessive Hand Movement
156,6,Excessive Head Turn
156,6,Excessive Hand Movement
157,1,Excessive Head Turn
157,1,Excessive Hand Movement
157,3,Excessive Head Turn
157,3,Excessive Hand Movement
157,6,Excessive Head Turn
157,6,Excessive Hand Movement
158,1,Excessive Head Turn
158,1,Excessive Hand Movement
158,2,Excessive Head Turn
158,2,Excessive Hand Movement
158,3,Excessive Head Turn
158,3,Excessive Hand Movement
158,6,Excessive Head Turn
158,6,Excessive Hand Movement
159,1,Excessive Head Turn
159,1,Excessive Hand Movement
159,2,Excessive Head Turn
159,2,Excessive Hand Movement
159,3,Excessive Head Turn
159,3,Excessive Hand Movement
159,6,Excessive Head Turn
159,6,Excessive Hand Movement
160,1,Excessive Head Turn
160,1,Excessive Hand Movement
160,2,Excessive Head Turn
160,2,Excessive Hand Movement
160,3,Excessive Head Turn
160,3,Excessive Hand Movement
160,6,Excessive Head Turn
160,6,Excessive Hand Movement
161,1,Excessive Head Turn
161,1,Excessive Hand Movement
161,2,Excessive Head Turn
161,2,Excessive Hand Movement
161,3,Excessive Head Turn
161,3,Excessive Hand Movement
161,6,Excessive Head Turn
161,6,Excessive Hand Movement
162,1,Excessive Head Turn
162,1,Excessive Hand Movement
162,2,Excessive Head Turn
162,2,Excessive Hand Movement
162,3,Excessive Head Turn
162,3,Excessive Hand Movement
162,6,Excessive Head Turn
162,6,Excessive Hand Movement
163,1,Excessive Head Turn
163,1,Excessive Hand Movement
163,3,Excessive Head Turn
163,3,Excessive Hand Movement
163,6,Excessive Head Turn
163,6,Excessive Hand Movement
164,1,Excessive Head Turn
164,1,Excessive Hand Movement
164,2,Excessive Head Turn
164,2,Excessive Hand Movement
164,3,Excessive Head Turn
164,3,Excessive Hand Movement
164,6,Excessive Head Turn
164,6,Excessive Hand Movement
165,1,Excessive Head Turn
165,1,Excessive Hand Movement
165,2,Excessive Head Turn
165,2,Excessive Hand Movement
165,6,Excessive Head Turn
165,6,Excessive Hand Movement
166,1,Excessive Head Turn
166,1,Excessive Hand Movement
166,2,Excessive Head Turn
166,2,Excessive Hand Movement
166,3,Excessive Head Turn
166,3,Excessive Hand Movement
166,6,Excessive Head Turn
166,6,Excessive Hand Movement
167,1,Excessive Head Turn
167,1,Excessive Hand Movement
167,2,Excessive Head Turn
167,2,Excessive Hand Movement
167,3,Excessive Head Turn
167,3,Excessive Hand Movement
167,6,Excessive Head Turn
167,6,Excessive Hand Movement
