frame,track_id,x1,y1,x2,y2
56,11,167,70,213,149
56,18,54,140,175,259
56,19,436,91,488,177
56,20,342,117,428,205
56,21,454,126,500,178
57,1,443,166,520,299
57,2,500,202,574,327
57,3,93,34,140,89
57,4,251,108,317,178
57,5,251,238,339,330
57,6,350,117,421,231
57,7,283,73,324,134
57,8,293,31,335,76
57,9,245,158,315,242
57,10,411,39,443,78
57,11,167,70,213,149
57,18,54,139,176,259
57,19,438,92,490,177
57,20,342,117,428,206
57,21,454,126,500,178
58,1,443,167,520,299
58,2,500,202,574,327
58,3,93,34,140,89
58,4,250,108,317,178
58,5,251,238,339,331
58,6,350,117,421,231
58,7,283,74,324,134
58,8,293,31,334,76
58,9,245,158,315,242
58,10,411,39,443,78
58,11,167,70,213,149
58,18,55,142,173,256
58,19,438,92,491,177
58,20,341,117,429,207
58,21,454,126,500,178
59,1,443,167,520,299
59,2,500,202,574,327
59,3,93,34,140,89
59,4,251,109,317,178
59,5,251,238,339,331
59,6,350,117,421,231
59,7,283,74,324,134
59,8,293,31,334,76
59,9,245,158,315,242
59,10,411,39,443,78
59,11,167,70,213,149
59,18,55,142,172,256
59,19,439,92,493,177
59,20,341,117,429,209
59,21,454,126,500,178
60,1,443,167,520,299
60,2,500,202,574,327
60,3,93,34,140,89
60,4,250,110,317,179
60,5,251,238,338,330
60,6,350,117,421,230
60,7,284,74,324,134
60,8,293,30,334,75
60,9,245,158,315,242
60,10,411,39,443,78
60,11,167,70,213,149
60,18,55,142,172,255
60,19,439,92,493,177
60,20,340,117,430,210
60,21,454,126,500,178
61,1,443,167,520,299
61,2,500,202,574,327
61,3,93,34,141,89
61,4,249,110,317,179
61,5,252,238,338,330
61,6,350,117,421,230
61,7,283,74,324,134
61,8,293,30,334,75
61,9,245,158,315,242
61,10,411,39,443,78
61,11,167,70,213,149
61,18,55,142,171,255
61,19,439,94,493,177
61,20,340,117,430,211
61,21,454,126,500,178
62,1,442,167,520,299
62,2,501,202,573,327
62,3,93,34,141,89
62,4,249,110,317,179
62,5,252,238,338,330
62,6,350,117,421,230
62,7,283,74,324,134
62,8,293,30,334,75
62,9,245,158,315,242
62,11,167,70,213,149
62,18,55,143,171,255
62,19,439,93,494,177
62,20,339,117,431,212
62,21,454,126,500,178
63,1,442,167,520,299
63,2,501,202,573,327
63,3,94,33,141,89
63,4,249,111,317,180
63,5,252,238,338,330
63,6,350,117,421,230
63,7,283,74,324,134
63,8,293,30,334,75
63,9,245,158,315,242
63,11,167,70,213,149
63,18,55,143,171,255
63,19,438,93,494,177
63,20,339,117,432,213
63,21,454,126,500,178
64,1,442,167,520,298
