frame,person_id,anomaly_type,timestamp,timestamp_sec,bbox,duration_sec
280,4,Excessive Hand Movement,00:09,9.342666666666666,"(270,367,656,1069)",2.3690333333333324
281,14,Excessive Head Turn,00:09,9.376033333333334,"(969,102,1329,646)",
283,1,Looking Away,00:09,9.442766666666667,"(1095,483,1664,976)",0.5005000000000006
283,4,Excessive Head Turn,00:09,9.442766666666667,"(266,366,653,1069)",0.5005000000000006
283,4,Looking Away,00:09,9.442766666666667,"(266,366,653,1069)",0.5005000000000006
284,13,Looking Away,00:09,9.476133333333333,"(1260,325,1567,562)",0.5005000000000006
287,1,Excessive Head Turn,00:09,9.576233333333333,"(1088,484,1656,975)",0.5004999999999988
291,13,Excessive Head Turn,00:09,9.7097,"(1295,329,1573,566)",0.5004999999999988
291,14,Looking Away,00:09,9.7097,"(1088,85,1395,617)",0.5004999999999988
296,14,Excessive Head Turn,00:09,9.876533333333333,"(1168,86,1462,598)",0.5004999999999988
298,1,Looking Away,00:09,9.943266666666666,"(1063,480,1630,972)",0.5004999999999988
299,13,Looking Away,00:09,9.976633333333334,"(1317,334,1573,565)",0.5005000000000006
302,1,Excessive Head Turn,00:10,10.076733333333333,"(1044,475,1622,980)",0.5005000000000006
306,14,Looking Away,00:10,10.2102,"(1244,88,1538,556)",0.5005000000000006
307,13,Excessive Head Turn,00:10,10.243566666666666,"(1328,337,1581,566)",0.5338666666666665
312,14,Excessive Head Turn,00:10,10.410400000000001,"(1259,89,1608,642)",0.5338666666666683
313,1,Looking Away,00:10,10.443766666666667,"(1005,475,1569,972)",0.5005000000000006
314,13,Looking Away,00:10,10.477133333333333,"(1338,340,1587,566)",0.5004999999999988
317,1,Excessive Head Turn,00:10,10.577233333333334,"(985,472,1545,969)",0.5005000000000006
321,14,Looking Away,00:10,10.710700000000001,"(1293,95,1659,745)",0.5005000000000006
323,13,Excessive Head Turn,00:10,10.777433333333333,"(1071,322,1326,549)",0.5338666666666665
327,14,Excessive Head Turn,00:10,10.9109,"(1298,120,1638,773)",0.5004999999999988
328,1,Looking Away,00:10,10.944266666666667,"(909,470,1464,970)",0.5005000000000006
329,13,Looking Away,00:10,10.977633333333333,"(1028,319,1306,550)",0.5005000000000006
332,1,Excessive Head Turn,00:11,11.077733333333333,"(890,472,1439,970)",0.5004999999999988
332,1,Excessive Hand Movement,00:11,11.077733333333333,"(890,472,1439,970)",1.7350666666666665
336,14,Looking Away,00:11,11.2112,"(1275,181,1609,827)",0.5004999999999988
